URL,Label,Entity
http://vocab.getty.edu/ulan/500006212##quaPerson,"Spencer, Stanley",person
http://vocab.getty.edu/ulan/500014768##quaPerson,"Elstrack, Renold",person
http://vocab.getty.edu/ulan/500353640##quaPerson,"William IV, Prince of Orange",person
http://vocab.getty.edu/ulan/500115055##quaPerson,"Kauffmann, Angelica",person
http://vocab.getty.edu/ulan/500000318##quaPerson,"Craig, Edward Gordon",person
http://vocab.getty.edu/ulan/500024241##quaPerson,"Hardy, Heywood",person
http://vocab.getty.edu/ulan/500021925##quaPerson,Guercino,person
http://vocab.getty.edu/ulan/500010522##quaPerson,"Sandby, Paul",person
http://vocab.getty.edu/ulan/500028638##quaPerson,"Werff, Adriaen van der",person
http://vocab.getty.edu/ulan/500012135##quaPerson,"White, Robert",person
http://vocab.getty.edu/ulan/500016763##quaPerson,"Duplessis, Joseph-Siffred",person
http://vocab.getty.edu/ulan/500115453##quaPerson,"Gérard, François, Baron",person
http://vocab.getty.edu/ulan/500001987##quaPerson,"Singleton, Henry",person
http://vocab.getty.edu/ulan/500009780##quaPerson,"Lips, Johann Heinrich",person
http://vocab.getty.edu/ulan/500019411##quaPerson,"Loutherbourg, Philippe Jacques de",person
http://vocab.getty.edu/ulan/500021340##quaPerson,"Highmore, Joseph",person
http://vocab.getty.edu/ulan/500009526##quaPerson,"Le Clerc, Sébastien, the younger",person
http://vocab.getty.edu/ulan/500115269##quaPerson,Canaletto,person
http://vocab.getty.edu/ulan/500009619##quaPerson,"Carracci, Lodovico",person
http://vocab.getty.edu/ulan/500025331##quaPerson,"Vaillant, Wallerant",person
http://vocab.getty.edu/ulan/500003293##quaPerson,"Schedoni, Bartolomeo",person
http://vocab.getty.edu/ulan/500121569##quaPerson,"Monnoyer, Jean-Baptiste",person
http://vocab.getty.edu/ulan/500027794##quaPerson,"Hals, Frans",person
http://vocab.getty.edu/ulan/500004164##quaPerson,Gravelot,person
http://vocab.getty.edu/ulan/500010390##quaPerson,"Mackie, Charles H.",person
http://vocab.getty.edu/ulan/500559505##quaPerson,"Colson, Jean François Gille",person
http://vocab.getty.edu/ulan/500040634##quaPerson,"Doo, George Thomas",person
http://vocab.getty.edu/ulan/500009729##quaPerson,"Copley, John",person
http://vocab.getty.edu/ulan/500019359##quaPerson,"Yeats, William Butler",person
http://vocab.getty.edu/ulan/500122388##quaPerson,"Napoleon I, Emperor of the French",person
http://vocab.getty.edu/ulan/500015496##quaPerson,"Pocock, Nicholas",person
http://vocab.getty.edu/ulan/500053579##quaPerson,"Gaugain, Thomas",person
http://vocab.getty.edu/ulan/500115495##quaPerson,"Du Quesnoy, François",person
http://vocab.getty.edu/ulan/500003329##quaPerson,"Liotard, Jean-Étienne",person
http://vocab.getty.edu/ulan/500001141##quaPerson,"Sickert, Walter Richard",person
http://vocab.getty.edu/ulan/500024594##quaPerson,"Hunt, William Henry",person
http://vocab.getty.edu/ulan/500198877##quaPerson,"Farrell, Fred A.",person
http://vocab.getty.edu/ulan/500016005##quaPerson,"Allston, Washington",person
http://vocab.getty.edu/ulan/500000315##quaPerson,"Brown, John George",person
http://vocab.getty.edu/ulan/500001473##quaPerson,"Hudson, Thomas",person
http://vocab.getty.edu/ulan/500092643##quaPerson,"Parker, Cornelia",person
http://vocab.getty.edu/ulan/500003564##quaPerson,"Northcote, James",person
http://vocab.getty.edu/ulan/500017997##quaPerson,"Himely, Sigismond",person
http://vocab.getty.edu/ulan/500490605##quaPerson,"Freedley, Durr",person
