unit,version,url
extern,3.0,https://julsraemy.ch/hostiiing/manifests/SGV_10A_00050_layers.json
ycba,2.1,https://manifests.collections.yale.edu/v2/ycba/obj/53822
ycba,3.0,https://manifests.collections.yale.edu/ycba/obj/53822
extern,2.1,https://www.e-rara.ch/i3f/v20/18877392/manifest
